DATE SP500 Lo30 Med40 Hi30 Lo20 Qnt2 Qnt3 Qnt4 Hi20 Lo10 Dec02 Dec03 Dec04 Dec05 Dec06 Dec07 Dec08 Dec09 Hi10
196406 0.018912432 0.0167 0.0129 0.0235 0.0098 0.0271 0.0071 0.0167 0.0231 0.0063 0.0144 0.0323 0.0191 0.0057 0.0092 0.0098 0.024 0.019 0.0322
196407 0.020565623 0.019 0.0235 0.0231 0.0247 0.0104 0.0338 0.0202 0.0187 0.0218 0.0323 0.0045 0.0177 0.0218 0.0457 0.0134 0.0277 0.0141 0.0273
196408 -0.019956796 -0.0123 -0.0082 -0.0128 -0.0129 -0.0137 0.0013 -0.006 -0.0221 -0.0133 -0.0118 -0.0109 -0.0171 0.0099 -0.0071 -0.0086 -0.0032 -0.0193 -0.0273
196409 0.037378662 0.0237 0.0351 0.0512 0.0309 0.0145 0.0428 0.0431 0.0541 0.0339 0.0233 0.0048 0.0266 0.0451 0.0405 0.0382 0.0483 0.0488 0.0642
196410 0.011047669 0.0031 0.0175 0.0152 0.0042 0.0113 0.0074 0.0104 0.0333 -0.0042 0.0263 -0.0001 0.0251 0.0061 0.0087 0.0232 -0.0033 0.0292 0.0408
196411 -0.002238831 0.0048 0.0086 -0.0288 0.0101 -0.0008 0.0088 -0.0099 -0.0308 0.0055 0.0219 -0.0095 0.0096 0.0124 0.0052 0.0055 -0.0267 -0.0309 -0.0305
196412 0.006870432 0.0111 -0.0033 -0.0193 0.0081 0.0114 -0.01 -0.0131 -0.0128 0.014 -0.0066 0.0192 0.0023 0.0035 -0.0235 -0.0015 -0.0261 -0.0088 -0.0201
196501 0.035634189 0.0402 0.0305 0.0504 0.0488 0.0179 0.0382 0.0433 0.0544 0.0584 0.0246 0.0167 0.0192 0.0316 0.0451 0.0409 0.0461 0.0468 0.0686
196502 0.000913603 0.0065 0.0031 0.0114 0.0037 0.0042 0.014 0.0085 0.0093 0.0049 0.0005 0.0143 -0.0077 0.0162 0.0118 0.004 0.0136 -0.0037 0.0334
196503 -0.012124035 -0.0111 -0.0145 0.0063 -0.0121 -0.0145 -0.0114 -0.0002 0.0094 -0.0106 -0.0162 -0.0081 -0.0221 -0.0135 -0.0092 -0.0029 0.003 0.0036 0.0198
196504 0.036791984 0.038 0.0262 0.034 0.0438 0.0208 0.0298 0.0288 0.0453 0.0531 0.0193 0.022 0.0194 0.0216 0.038 0.0348 0.0219 0.0559 0.0266
196505 -0.005274237 -0.0027 -0.0001 -0.0204 -0.0072 0.0075 -0.0053 -0.0056 -0.026 -0.0081 -0.0046 0.0101 0.0042 -0.0098 -0.0008 0.0019 -0.0143 -0.0263 -0.0254
196506 -0.046143442 -0.047 -0.0523 -0.0562 -0.0471 -0.0424 -0.0617 -0.0544 -0.0718 -0.052 -0.0337 -0.0468 -0.037 -0.068 -0.0554 -0.0673 -0.0392 -0.067 -0.0806
196507 0.015929683 0.0136 0.0171 0.0416 0.0161 0.0052 0.023 0.0356 0.0504 0.0197 0.0078 0.0045 0.0056 0.0196 0.0266 0.0435 0.0226 0.0423 0.0656
196508 0.024985316 0.0303 0.0295 0.0314 0.0343 0.0186 0.0416 0.0238 0.0344 0.0363 0.0298 0.0154 0.0209 0.0434 0.0399 0.0233 0.0247 0.0303 0.0418
196509 0.034415433 0.038 0.0233 0.0368 0.039 0.0261 0.0229 0.0374 0.035 0.0385 0.0401 0.0341 0.0205 0.0286 0.017 0.0353 0.0408 0.0318 0.0406
196510 0.030346898 0.0292 0.0212 0.0583 0.0326 0.0093 0.0336 0.0473 0.0622 0.037 0.0223 0.0162 0.0043 0.0264 0.0412 0.0458 0.0497 0.0593 0.0672
196511 -0.00584303 0.0009 0.0017 0.0102 0.0004 -0.009 0.0203 0.0099 0.0126 0.0009 -0.001 0.003 -0.0176 0.0215 0.019 0.0131 0.0048 -0.0012 0.0373
196512 0.011898346 0.0093 0.0106 0.0429 0.0111 0.0021 0.0169 0.0302 0.0419 0.0098 0.0141 0.0023 0.0019 0.0043 0.0299 0.021 0.0454 0.0411 0.0432
196601 0.007356886 -0.0008 0.015 0.0498 -0.0014 0.0001 0.0255 0.0415 0.0502 -0.0004 -0.0038 0.0015 -0.0009 0.0083 0.0427 0.037 0.0487 0.0285 0.0877
196602 -0.015396252 -0.0145 -0.0053 0.0048 -0.0096 -0.0183 -0.006 -0.0013 0.0097 -0.0076 -0.0143 -0.0336 -0.0069 -0.0089 -0.0031 0.0018 -0.0061 -0.0004 0.0259
196603 -0.019293911 -0.0151 -0.0268 -0.0348 -0.0136 -0.031 -0.0159 -0.0248 -0.0377 -0.0097 -0.0229 -0.021 -0.0382 -0.0252 -0.007 -0.0226 -0.0282 -0.0207 -0.0643
196604 0.023198497 0.0251 0.0203 0.027 0.0235 0.0212 0.0192 0.0407 0.0242 0.0229 0.025 0.0315 0.0137 0.0185 0.0198 0.0452 0.0335 0.0204 0.0304
196605 -0.051504592 -0.0437 -0.0542 -0.0805 -0.0441 -0.0439 -0.056 -0.0783 -0.0808 -0.0431 -0.0468 -0.0421 -0.0453 -0.0647 -0.0478 -0.0775 -0.0798 -0.0665 -0.1038
